onset	duration	trial_type	correct
0.0275	20	3	0
20.0078	2	2	1
25.0075	2	2	1
32.0074	2	2	1
39.0073	2	2	1
45.0073	2	2	1
57.0072	2	2	1
62.0071	2	2	1
66.0071	2	2	1
70.0071	2	2	0
74.0071	2	2	1
85.007	2	2	1
92.007	2	2	1
98.0069	2	2	1
105.0069	2	2	1
109.0069	2	2	1
115.0068	2	2	1
120.0067	2	1	1
125.0067	2	1	1
132.0067	2	1	1
139.0066	2	1	1
145.0066	2	1	1
155.0065	2	1	1
160.0065	2	1	1
164.0065	2	1	1
170.0064	20	3	0
190.0064	2	2	1
195.0063	2	2	1
202.0063	2	2	1
206.0063	2	2	1
212.0062	2	2	1
219.0062	2	2	0
231.0061	2	2	1
235.0061	2	2	1
240.006	2	1	1
247.006	2	1	1
251.006	2	1	1
263.0059	2	1	1
268.0059	2	1	1
272.0058	2	1	1
279.0058	2	1	1
284.0058	2	1	1
290.0057	2	1	1
294.0057	2	1	1
299.0057	2	1	1
305.0056	2	1	1
311.0044	2	1	1
316.0056	2	1	1
320.0055	2	1	1
333.0055	2	1	1
340.0054	20	3	0
