onset	duration	trial_type	correct
0.0285	20	3	0
20.0084	2	1	1
24.0084	2	1	1
29.0083	2	1	1
36.0083	2	1	1
40.0083	2	1	1
45.0082	2	1	0
51.0082	2	1	1
63.0081	2	1	1
70.0081	2	1	0
76.008	2	1	1
82.008	2	1	1
89.008	2	1	1
93.0079	2	1	1
103.0079	2	1	1
108.0079	2	1	1
115.0078	2	1	1
120.0082	2	2	1
126.0078	2	2	1
133.0078	2	2	1
137.0077	2	2	1
141.0077	2	2	1
146.0077	2	2	1
158.0076	2	2	1
165.0076	2	2	1
170.0075	20	3	0
190.0074	2	2	1
194.0074	2	2	1
200.0074	2	2	1
207.0073	2	2	1
213.0073	2	2	1
220.0072	2	2	1
225.0072	2	2	1
235.0072	2	2	1
240.0071	2	1	1
246.007	2	1	1
257.007	2	1	1
264.0069	2	1	1
270.0069	2	1	1
277.0069	2	1	1
281.0068	2	1	1
285.0068	2	1	1
290.0068	2	2	1
295.0068	2	2	1
302.0068	2	2	1
306.0067	2	2	1
312.0067	2	2	1
317.0067	2	2	1
323.0066	2	2	1
333.0066	2	2	1
340.0065	20	3	0
